datetime,batch,k,epoch,train_loss,val_loss,val_acc
34:02.0,26,5,1,0.529294133,0.484786246,74.63976945
35:05.8,26,5,2,0.588079274,0.371610118,82.51681076
36:05.2,26,5,3,1.694874525,0.312392051,88.28049952
36:58.5,26,5,4,0.008674895,0.257813177,88.95292988
37:56.2,26,5,5,0.003223099,0.183960226,93.27569645
39:16.5,26,5,6,0.009253433,0.163658159,93.75600384
40:12.8,26,5,7,0.012530294,0.124138944,96.15754083
41:51.9,26,5,8,0.057504643,0.110941397,95.29298751
42:42.1,26,5,9,1.648598075,0.122603632,94.71661864
43:49.0,26,5,10,0.01358786,0.119346908,96.44572526
44:53.7,26,5,11,0.487447947,0.106792256,95.77329491
45:44.0,26,5,12,0.460067034,0.155700697,94.4284342
46:47.6,26,5,13,0.100431174,0.141065694,94.71661864
47:49.0,26,5,14,0.004828988,0.102812824,96.25360231
48:55.8,26,5,15,2.465961933,0.083260618,96.7339097
49:53.1,26,5,16,3.945786476,0.074438963,97.79058598
50:58.6,26,5,17,2.532818317,0.06194675,97.79058598
51:55.6,26,5,18,0.775412977,0.086770766,97.31027858
53:13.5,26,5,19,0.005570986,0.106104988,96.92603266
54:53.0,26,5,20,2.18915081,0.103471422,96.54178674
56:24.5,26,5,21,0.000174554,0.072077627,97.11815562
57:14.3,26,5,22,2.486718655,0.072460913,97.2142171
58:35.8,26,5,1,0.179237038,0.003549348,99.90393852
00:10.6,26,5,2,0.122651771,0.002079009,100
01:26.8,26,5,3,5.28E-05,0.00198422,100
02:34.3,26,5,4,7.74E-05,0.001095364,100
03:37.7,26,5,5,0.001578251,0.000587151,100
04:42.1,26,5,6,0.000126346,0.000828278,100
05:35.2,26,5,7,0.00034672,0.000469248,100
06:26.2,26,5,8,0.029416164,0.000399082,100
07:38.6,26,5,9,1.56E-05,0.00030812,100
08:28.8,26,5,10,0.065777361,0.000251731,100
09:44.3,26,5,11,0.00014029,0.000289998,100
10:42.9,26,5,12,0.000415689,0.000329141,100
12:19.4,26,5,13,0.074030921,0.000371258,100
13:43.9,26,5,14,2.980486631,0.000608,100
14:58.0,26,5,15,3.888328314,0.013459267,99.5196926
16:02.4,26,5,1,0.159850806,0.000918017,100
17:10.5,26,5,2,0.002133284,0.000999001,100
18:29.2,26,5,3,0.000240387,0.000712216,100
19:52.7,26,5,4,0.04852343,0.00058573,100
21:04.5,26,5,5,0.004206322,0.000490422,100
21:56.0,26,5,6,0.091407716,0.000366682,100
22:46.7,26,5,7,0.003306736,0.000303567,100
23:36.4,26,5,8,4.512677193,0.001099725,100
24:58.3,26,5,9,0.000197799,0.005979042,99.80787704
25:48.1,26,5,10,0.128287092,0.002927434,99.90393852
26:58.5,26,5,11,1.616291046,0.003187188,100
28:06.0,26,5,12,0.004150562,0.009290657,99.5196926
29:08.1,26,5,1,0.000114743,0.002136346,99.90384615
30:09.1,26,5,2,0.002137116,0.001645514,99.90384615
31:35.0,26,5,3,1.495687008,0.003116849,99.90384615
33:22.4,26,5,4,2.516949892,0.002866072,100
35:02.3,26,5,5,1.088457584,0.003595481,99.90384615
36:34.5,26,5,6,0.040464435,0.00258616,100
38:02.9,26,5,7,0.001313989,0.0014433,100
39:28.6,26,5,8,0.042508449,0.001717207,99.90384615
40:47.4,26,5,9,0.528763771,0.001274613,100
42:02.6,26,5,10,0.000714783,0.005323179,99.61538462
43:30.4,26,5,11,0.231197104,0.002072656,100
44:45.5,26,5,12,0.000215177,0.001670011,100
46:00.2,26,5,13,4.558645725,0.000645812,100
47:12.5,26,5,14,2.982089996,0.006087129,99.80769231
48:23.3,26,5,15,0.581895888,0.002764606,99.90384615
49:35.3,26,5,16,0.330587596,0.004338323,99.80769231
50:44.8,26,5,17,0.003539328,0.004423112,99.80769231
51:53.5,26,5,18,2.383107424,0.007344001,99.71153846
53:03.1,26,5,1,0.000631065,0.000466541,100
54:07.3,26,5,2,2.547532797,0.00021263,100
55:14.1,26,5,3,0.010470786,0.002096878,99.90384615
56:20.2,26,5,4,3.71E-05,0.000571947,100
57:27.8,26,5,5,2.283713818,0.000465921,100
58:37.5,26,5,6,1.123895764,0.003594298,99.90384615
59:48.0,26,5,7,1.087145805,0.00144442,100
,,,,,,
41:00.6,26,5,1,0.493528485,0.604373422,67.4351585
41:29.5,26,5,2,1.115763307,0.551559076,70.31700288
42:21.7,26,5,3,0.469250143,0.5254733,74.25552354
43:23.4,26,5,4,0.242122322,0.493541869,74.92795389
44:16.6,26,5,5,0.110092148,0.441769704,78.48222863
45:21.7,26,5,6,0.714497328,0.348137414,84.91834774
45:53.0,26,5,7,1.117782354,1.756143156,55.90778098
46:26.4,26,5,8,0.768778622,0.6419142,70.7012488
47:03.4,26,5,9,1.053990126,1.520765216,62.92026897
47:42.9,26,5,10,0.017535593,0.44937502,83.18924111
48:41.4,26,5,11,0.004535051,0.332630768,87.41594621
49:38.4,26,5,12,0.834233284,0.239546055,90.6820365
50:06.5,26,5,13,0.002147977,0.475227285,81.46013449
50:52.4,26,5,14,1.886979342,2.489639892,58.78962536
51:36.0,26,5,15,0.001696581,0.519424679,79.82708934
52:31.5,26,5,16,1.843161702,0.294972691,88.66474544
53:25.9,26,5,17,0.024143169,0.660241431,79.15465898
54:42.2,26,5,1,0.527941942,0.260135817,89.72142171
56:16.6,26,5,2,0.000602894,0.681226671,76.08069164
57:47.1,26,5,3,0.000242382,0.069323377,97.40634006
